timestamp,source,platform,url,text,type
2025-01-02T16:41:30.649Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lerjestnuk2i,"With TikTok set for a critical SCOTUS showdown on January 10, what does the legal path ahead look like? Some considerations here: 

x.com/mattschett/s...",user_post
2024-12-30T15:25:35.158Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lejtqatmrs2t,"Will TikTok win at SCOTUS? It's close case, yet we doubt it. Best predictor of how SCOTUS will see case isn't Trump's brief on politics. It's how D.C. Cir. panel that's ideologically like SCOTUS already ruled on law -- unanimously, without any sign of hesitation, against TikTok.",user_post
2024-12-30T15:04:05.955Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lejsjuhncs2q,"I'm also skeptical, but SCOTUS didn't deny TikTok's request for a stay -- at least not yet. The fact that SCOTUS didn't *grant* the injunction, despite the clear urgency, may very well tell us something.",user_post
2024-12-30T14:44:14.566Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lejrgefhdc2i,"Best evidence Trump TikTok brief won't sway SCOTUS: Neomi Rao.  

Rao is often sympathetic to Trump. When she ruled in this case, she already knew what Trump's brief says: he won election; now against ban; TT loss would leave him little room.  

Didn’t matter. She handed TikTok sweeping loss.",user_post
2024-12-20T11:24:45.650Z,Bluesky,brianfung.me,at://did:plc:ao5lg7i43h2mvsltj4cqj4jx/app.bsky.feed.post/3ldqbmhaddc25,"The Supreme Court’s decision this week *not* to hear a case about ISP regulation will give states more control over telcos and cable providers, much to the chagrin of companies that fought to weaken federal regulation. Solid explainer by @haroldfeld.bsky.social www.facebook.com/share/p/1Ghd...",user_post
2024-12-18T18:20:06.152Z,Bluesky,davidgreene.bsky.social,at://did:plc:encs65vl2g7z3abswilj7jve/app.bsky.feed.post/3ldlxvawl422m,"Here's our statement on the Supreme Court fast-tracking the TikTok case. As I say ""The TikTok ban itself and the DC Circuit's approval of it should be of great concern even to those who find TikTok undesirable or scary.""   www.eff.org/deeplinks/20...",user_post
2024-12-19T15:57:09.749Z,Bluesky,lawrencehurley.bsky.social,at://did:plc:5masqigebv6augvgz62uko5i/app.bsky.feed.post/3ldoael2fls24,"Some more discussion here on how the Supreme Court is handling the TikTok appeal and what it all could mean:
youtu.be/nfsSqBEu6_Y?...",user_post
2024-12-18T17:02:41.148Z,Bluesky,anupamchander.bsky.social,at://did:plc:wnyrwjjkcnlxd4xnzhsoiocf/app.bsky.feed.post/3ldltkui5pc27,"The Supreme Court could have made everyone's life easier by simply staying the operation of the law until its constitutionality were resolved. After all, the Biden Administration stopped negotiating with TikTok in 2022--letting this supposed national security risk fester for another 2 years!",user_post
2024-12-18T21:00:56.756Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3ldmauw2e4k2n,Srinivasan’s concurrence offers easy path around this.,user_post
2024-12-16T16:27:05.853Z,Bluesky,haroldfeld.bsky.social,at://did:plc:lt5v2lt5zh3tcizcap4q7jbu/app.bsky.feed.post/3ldgqnfeozc2h,"SCOTUS has declined to hear a challenge to NY State's law requiring ISPs to offer an affordable broadband speed for low-income subs. This is a big deal. www.scotusblog.com/2024/12/cour...

The fight around broadband now effectively shifts to the states, unless 6th Cir upholds Title II. /1",user_post
